id,sub_skill,difficulty,text,option_a,option_b,option_c,option_d,correct_answer
percentages_001,Percentages,1,What is 10% of 200?,15,20,25,30,20
percentages_002,Percentages,2,What is 15% of 240?,24,32,36,40,36
percentages_003,Percentages,3,A price of 100 increases by 20% and then decreases by 20%. What is the final price?,100,96,104,98,96
percentages_004,Percentages,4,Two successive discounts of 10% and 20% are applied to an item priced at 500. What is the final price?,350,360,370,340,360
percentages_005,Percentages,5,A value increases by 10% and then by 20%. What single percentage increase is this equivalent to?,30%,32%,28%,33%,32%
profit_loss_001,Profit & Loss,1,Cost Price is 100 and Selling Price is 120. Find the profit.,10,15,20,25,20
profit_loss_002,Profit & Loss,2,Cost Price is 200 and Selling Price is 180. Find the loss.,15,20,25,30,20
profit_loss_003,Profit & Loss,3,Cost Price is 500 and profit percentage is 20%. Find the Selling Price.,550,580,600,620,600
profit_loss_004,Profit & Loss,4,Marked Price is 1000 and a discount of 10% is given. Find the Selling Price.,850,880,900,920,900
profit_loss_005,Profit & Loss,5,Cost Price is 800 and Selling Price is 680. Find the loss percentage.,10%,12%,15%,18%,15%
simple_interest_001,Simple Interest,1,Find the Simple Interest on a principal of 1000 at 10% per annum for 1 year.,90,100,110,120,100
simple_interest_002,Simple Interest,2,Find the Simple Interest on a principal of 2000 at 5% per annum for 3 years.,250,275,300,325,300
simple_interest_003,Simple Interest,3,Find the total amount on a principal of 5000 at 8% per annum for 2 years.,5600,5700,5800,5900,5800
simple_interest_004,Simple Interest,4,At what rate percent per annum will a principal of 1000 yield Simple Interest of 300 in 3 years?,8%,9%,10%,12%,10%
simple_interest_005,Simple Interest,5,In how many years will a principal of 1500 at 8% per annum produce Simple Interest of 480?,3,4,5,6,4
compound_interest_001,Compound Interest,1,Find the Compound Interest on 1000 at 10% per annum for 1 year.,90,95,100,105,100
compound_interest_002,Compound Interest,2,Find the Compound Interest on 1000 at 10% per annum for 2 years.,190,200,210,220,210
compound_interest_003,Compound Interest,3,Find the Compound Interest on 2000 at 20% per annum for 2 years.,800,840,880,920,880
compound_interest_004,Compound Interest,4,Find the difference between Compound Interest and Simple Interest on 1000 at 10% per annum for 2 years.,5,8,10,12,10
compound_interest_005,Compound Interest,5,Find the Compound Interest on 1000 at 10% per annum for 3 years.,300,310,331,350,331
